water_flow,water_head,turbine_type,turbine_type_encoded,turbine_age,water_temperature,season,season_encoded,maintenance_days,reservoir_level,efficiency,power_output
98.54,47.64,Kaplan,0,7.68,13.54,Spring,0,3,75.42,0.8351,3.0793
112.73,54.32,Francis,1,2.34,12.87,Spring,0,2,82.15,0.8423,4.3416
87.65,65.21,Pelton,2,8.91,11.25,Winter,3,7,68.37,0.8107,3.7586
104.28,52.76,Kaplan,0,5.32,17.62,Summer,1,1,79.54,0.8576,3.9798
93.75,48.93,Francis,1,12.57,14.89,Spring,0,11,73.21,0.7688,2.8524
118.62,61.38,Kaplan,0,3.15,19.73,Summer,1,4,88.45,0.8725,5.6314
76.43,43.27,Pelton,2,15.82,9.76,Winter,3,8,62.89,0.7315,1.9163
108.94,57.82,Francis,1,6.71,15.34,Fall,2,5,81.67,0.8265,4.3772
91.35,49.76,Kaplan,0,4.29,13.92,Spring,0,2,74.53,0.8498,3.0879
125.17,68.43,Pelton,2,1.83,16.25,Summer,1,1,92.76,0.8795,6.3245
82.68,45.92,Francis,1,9.45,10.87,Winter,3,6,65.28,0.7895,2.4013
115.29,59.67,Kaplan,0,3.78,18.45,Summer,1,3,86.94,0.8647,5.3106
95.84,51.23,Pelton,2,7.56,12.65,Fall,2,4,76.12,0.8184,3.2432
107.21,55.89,Francis,1,5.94,14.27,Spring,0,3,80.34,0.8308,4.1794
89.76,46.58,Kaplan,0,8.23,11.89,Winter,3,5,71.45,0.8102,2.7039
121.53,63.74,Pelton,2,2.67,17.35,Summer,1,2,90.21,0.8716,5.8932
84.32,44.15,Francis,1,11.29,10.43,Fall,2,9,67.83,0.7743,2.2852
113.65,58.91,Kaplan,0,4.12,16.78,Spring,0,4,85.27,0.8563,4.8673
97.28,50.45,Pelton,2,6.87,13.21,Winter,3,3,77.59,0.8226,3.2143
110.92,56.78,Francis,1,3.45,15.67,Summer,1,2,83.46,0.8512,4.5283
90.57,48.36,Kaplan,0,9.76,12.34,Fall,2,7,72.18,0.7985,2.7926
124.36,67.92,Pelton,2,1.29,18.56,Summer,1,1,93.05,0.8835,6.2678
83.41,45.23,Francis,1,10.62,10.12,Winter,3,8,66.79,0.7812,2.3474
116.84,60.37,Kaplan,0,2.94,17.89,Spring,0,3,87.63,0.8689,5.4832
94.17,49.84,Pelton,2,7.35,12.78,Fall,2,4,75.32,0.8153,3.0701
106.53,55.21,Francis,1,5.78,14.56,Winter,3,3,81.94,0.8286,3.8956
88.29,47.15,Kaplan,0,8.91,11.32,Spring,0,6,70.25,0.8047,2.6704
120.75,62.95,Pelton,2,2.34,18.23,Summer,1,2,89.47,0.8734,5.9457
85.76,46.38,Francis,1,9.23,11.54,Fall,2,7,68.91,0.7963,2.5176
114.29,59.74,Kaplan,0,3.67,16.92,Winter,3,3,86.14,0.8532,4.9685
96.82,49.27,Pelton,2,6.45,12.89,Spring,0,4,76.43,0.8239,3.1247
109.37,57.46,Francis,1,4.21,15.13,Summer,1,2,82.76,0.8478,4.4268
